JASIL3230	North_Andros	distichoides
209	Ragged_Island	distichus
5593	488	ravitergum
JASIL3075	Eleuthera	dapsilis
5078	468	sejunctus
9762	La_Canita	dom4
9840	Las_Lagunas	ignigularis
8304	Citadel	vinosus
JASIL3084	Eleuthera	dapsilis
9837	Las_Lagunas	ignigularis
5083	468	sejunctus
JASIL3082	Eleuthera	dapsilis
4823	452	ignigularis
JASIL3373	North_Andros	distichoides
671	41	dom12
4822	452	ignigularis
8331	LM121	dom3
8302	LM118	aurifer
9833	Los_Tablones	ignigularis
677	42	dom12
8306	Citadel	vinosus
8179	LM093	dom1
8180	LM093	dom1
670	41	dom12
10236	Mirador_Norte	ignigularis
7398	644	brevirostris
668	39	dom12
5100	469	ravitergum
9764	La_Canita	dom4
JASIL3081	Eleuthera	dapsilis
9766	La_Canita	dom4
10232	Mirador_Norte	ignigularis
10234	Mirador_Norte	ignigularis
9765	La_Canita	dom4
5101	469	ravitergum
202	Rum_Cay	ocior
9839	Las_Lagunas	ignigularis
8178	LM093	dom1
8287	Jeremie	suppar
9763	La_Canita	dom4
JASIL3374	North_Andros	distichoides
5081	468	sejunctus
5159	472	favillarum
8330	LM121	dom3
10235	Mirador_Norte	ignigularis
8328	LM121	dom3
5594	488	ravitergum
8289	Jeremie	suppar
5099	469	ravitergum
266169	AltoVelo	altavelensis
8339	LM126	marron
1337	166	dom12
5586	488	ravitergum
7496	388	favillarum
3872	371	favillarum
8332	LM121	dom3
PM163	Bimini	biminiensis
JASIL3236	North_Andros	distichoides
8192	LM099	websteri
9832	Los_Tablones	ignigularis
212	Rum_Cay	ocior
JASIL3231	North_Andros	distichoides
216	Ragged_Island	distichus
201	Rum_Cay	ocior
8288	Jeremie	suppar
214	Ragged_Island	distichus
8329	LM121	dom3
7431	514	favillarum
8284	LM106	aurifer
PM91	Bimini	biminiensis
223	Ragged_Island	distichus
203	Rum_Cay	ocior
6270	566	ignigularis
8231	LM101	caudalis
8337	LM124	dom3
PM137	Bimini	biminiensis
7500	388	favillarum
4380	416	dom4
4481	428	dom2
8338	LM124	dom3
4482	428	dom2
PM107	Bimini	biminiensis
5102	470	ravitergum
266166	AltoVelo	altavelensis
266168	AltoVelo	altavelensis
266167	AltoVelo	altavelensis
4688	443	ignigularis
4479	428	dom2
3871	371	favillarum
4691	441	ignigularis
6279	566	ignigularis
6513	577	properus
4364	416	dom4
6522	577	properus
4354	415	dom4
6517	577	properus
4007	390	brevirostris
10219	130	properus
10134	Nagua	dom2
4391	419	brevirostris
5874	528	dom4
4917	459	properus
5137	471	brevirostris
4320	413	brevirostris
664	38	dom12
10085	Paquiatini	ignigularis
710	48	dom2
1067	127	igprop
4197	402	ravig
1352	169	dom12
665	38	dom12
1198	142	brevirostris
10135	Nagua	dom2
835	71	ignigularis
617	22	dom3
7696	701	ravig
4324	413	brevirostris
3802	369	brevirostris
591	14	brevirostris
4382	418	ravitergum
1389	178	favillarum
1264	150	dom2
4476	426	dom2
618	22	dom3
5162	472	favillarum
4484	430	dom2
1066	127	igprop
6081	543	dom4
4873	457	ignigularis
5221	476	brevirostris
4276	402	ravig
4250	396	ravitergum
4549	433	dom2
7547	643	brevirostris
4257	396	ravitergum
3824	373	favillarum
5872	528	dom4
5892	529	dom4
7459	645	ravitergum
3791	369	brevirostris
749	57	igprop
6769	584	igprop
5169	472	favillarum
5170	472	favillarum
5165	472	favillarum
4403	420	ravitergum
4277	402	ravig
10133	Nagua	dom2
10102	Rio_San_Juan	dom2
10130	432	dom2
6258	561	brevirostris
6725	367	dom2
3823	373	favillarum
5215	476	brevirostris
4485	430	dom2
6453	573	igprop
10128	432	dom2
4498	431	dom2
6247	561	brevirostris
4624	437	dom2
590	14	brevirostris
4548	433	dom2
748	57	igprop
4599	437	dom2
5038	465	igprop
10112	Rio_San_Juan	dom2
10221	130	properus
1228	146	ignigularis
5891	529	dom4
10204	59	properus
6454	573	igprop
4496	431	dom2
4903	455	ignigularis
4874	457	ignigularis
6793	586	dom2
596	15	brevirostris
5034	465	igprop
3825	373	favillarum
8844	885	favillarum
4404	420	ravitergum
4322	413	brevirostris
10110	Rio_San_Juan	dom2
7697	701	ravig
6685	366	ignigularis
6772	366	ignigularis
703	48	dom2
10129	432	dom2
4626	437	dom2
1229	146	ignigularis
4916	459	properus
1268	150	dom2
597	15	brevirostris
8305	Citadel	vinosus
589	14	brevirostris
6069	543	dom4
4473	426	dom2
6780	366	ignigularis
1267	150	dom2
6531	578	properus
1198	142	brevirostris
5031	465	igprop
4383	418	ravitergum
867	82	ignigularis
3705	363	ignigularis
4041	396	ravitergum
3802	369	brevirostris
6789	582	igprop
4902	455	ignigularis
6617	582	igprop
5890	529	dom4
6542	578	properus
3800	369	brevirostris
598	15	brevirostris
606	19	ravitergum
833	71	ignigularis
4257	396	ravitergum
4497	431	dom2
10086	Paquiatini	ignigularis
4428	146	ignigularis
6259	561	brevirostris
7565	643	brevirostris
5033	465	igprop
7501	388	favillarum
704	48	dom2
1388	178	favillarum
1227	146	ignigularis
858	77	dom2
6724	367	dom2
6727	367	dom2
10202	59	properus
6388	566	ignigularis
5218	476	brevirostris
3703	363	ignigularis
1065	127	igprop
6766	584	igprop
1390	178	favillarum
6790	479	ignigularis
5855	525	brevirostris
5871	528	dom4
712	49	dom12
6537	578	properus
5683	486	brevirostris
866	82	ignigularis
2350	Cuba	porcatus
4498	431	dom2
6721	367	dom2
1196	142	brevirostris
10224	130	properus
6768	584	igprop
4321	413	brevirostris
6452	573	igprop
4915	459	properus
6781	366	ignigularis
