4871	457	ignigularis
5135	471 brevirostris
6072	543	dom4
3801	369	brevirostris
5856	525	brevirostris
4547	433	dom2
7368	643	brevirostris
2412	Cuba	porcatus
5557	486	brevirostris
5174	472	favillarum
5138	471 brevirostris
6343	380	ignigularis
10208	59	properus
4384	418	ravitergum
5590	486	brevirostris
4864	454	dom2
6787	582	igprop
6854	586	dom2
7458	645	ravitergum
2626	Cuba	porcatus
4486	430	dom2
5591	485	ravitergum
8845	885	favillarum
6675	584	igprop
1197	142	brevirostris
4475	426	dom2
6341	380	ignigularis
6719	367	dom2
620	22	dom3
6340	380	ignigularis
6685	366	ignigularis
6357	380	ignigularis
2388	Cuba	porcatus
2470	Cuba	porcatus
6772	366	ignigularis
